name	normalname	country	latitude	longitude	population
Sunbury	Sunbury	AU	-37.57742	144.72607	29925
Springvale	Springvale	AU	-37.94853	145.15274	19771
Southport	Southport	GB	53.64581	-3.01008	93044
Shepparton	Shepparton	AU	-36.38047	145.39867	38773
Seaford	Seaford	GB	50.77141	0.10268	22338
Saint Kilda	Saint Kilda	AU	-37.8676	144.98099	17795
Saint Albans	Saint Albans	AU	-37.73333	144.8	35091
Rockhampton	Rockhampton	AU	-23.38032	150.50595	61724
Richmond	Richmond	US	37.55376	-77.46026	204214
Reservoir	Reservoir	AU	-37.71667	145	47637
Queanbeyan	Queanbeyan	AU	-35.35493	149.232	40661
Preston	Preston	GB	53.76282	-2.70452	190687
Port Macquarie	Port Macquarie	AU	-31.43084	152.90894	41491
Orange	Orange	US	33.78779	-117.85311	136416
Nowra	Nowra	AU	-34.88422	150.60036	34479
Northcote	Northcote	AU	-37.76667	145	22920
Noble Park	Noble Park	AU	-37.96667	145.16667	28377
Newcastle	Newcastle	ZA	-27.75796	29.9318	404838
Nerang	Nerang	AU	-27.98941	153.33633	16256
Narangba	Narangba	AU	-27.20338	152.95923	16223
Mulgrave	Mulgrave	AU	-37.91667	145.2	17647
Mount Martha	Mount Martha	AU	-38.26667	145.01667	17087
Mount Gambier	Mount Gambier	AU	-37.8318	140.77919	23209
Mosman	Mosman	AU	-33.83902	151.23956	26236
Mornington	Mornington	AU	-38.21792	145.03876	22421
Morayfield	Morayfield	AU	-27.10876	152.94907	18020
Moe	Moe	AU	-38.17828	146.26099	15582
Mildura	Mildura	AU	-34.18551	142.16251	30016
Melton	Melton	AU	-37.68339	144.58543	35490
Melbourne	Melbourne	AU	-37.814	144.96332	4246375
Maryborough	Maryborough	AU	-25.54073	152.70493	21501
Marrickville	Marrickville	AU	-33.90318	151.15176	23161
Maroubra	Maroubra	AU	-33.95	151.23333	26538
Maitland	Maitland	AU	-32.73308	151.5574	67132
Mackay	Mackay	AU	-21.15345	149.16554	74219
Liverpool	Liverpool	GB	53.41058	-2.97794	468945
Lismore	Lismore	AU	-28.81354	153.2773	30086
Lilydale	Lilydale	AU	-37.75	145.35	15649
Launceston	Launceston	AU	-41.43876	147.13467	106153
Lara	Lara	AU	-38.02388	144.40617	15520
Langwarrin	Langwarrin	AU	-38.16667	145.16667	21371
Kew	Kew	AU	-37.80639	145.03086	23876
Katoomba	Katoomba	AU	-33.71977	150.30739	18593
Hobart	Hobart	AU	-42.87936	147.32941	216656
Hawthorn South	Hawthorn South	AU	-37.83333	145.05	21177
Griffith	Griffith	AU	-34.28853	146.05093	15455
Granville	Granville	AU	-33.83333	151.01667	22889
Goulburn	Goulburn	AU	-34.75155	149.72086	20940
Gold Coast	Gold Coast	AU	-28.00029	153.43088	591473
Gladstone	Gladstone	AU	-23.84852	151.25775	30489
